text,label
poe putangina mo umuwe kana duterte,1
think know noy secret candidate cough binay cough url daang matuwid cory favorite,0
username medjo nakakatakot manalo si robredo baka ipa impeach nya si duterte ... eh galamay yan roxas isama si trillanes,0
pol ad nakakaiyak naman si binay awang awa,2
joke big joke,2
asawa aswang,2
aldub happy bday lola url,1
ngaun kalaban vp binay gaano kadami sumusuporta sknya iyak nalang kau,2
b number nay binay winner,0
edi si binay pandak nyeta parang ah nanyo ha bwiset,1
pabebe taon duterte sige tumakbo maghati boto niyo poe miriam nang manalo si binay mo,1
username kaano binay si villar,0
omg mar roxas president,2
dj sana di nalang nagendorse url,1
chiz slams vp binay lp ’ offer gordon file dq cases poe url,0
burn binay haha,2
kathniel aklan,2
vote kathryn fpp kca,1
nalang al dub fans sinisisi nognog si binay kasalanan binoboycott abs bagyo baha parin mr mrs sotto,1
duterte run president go santiago bongbong tandem long appoint duterte dilg secretary,0
username yung last link sinend nandun si binay :(,0
mar roxas first choice best choice,0
nakakatainga tlaga si mar roxas di pwede ganun nalang ba yun pag nakadayaan election nanalo sya ... url,1
vp binay really people media politicians something ... url,0
sen trillanes accuses vp binay lying trying deceive public tv ad showing … url url,0
quicho magsisimula kampanya vp binay kahirapan username pilipino,0
basta pag si poe si binay nag anoint successor number nina mar leni e gawin ok inyo ha,0
sana yung binoto nyo kay poe roxas binay binoto nyo nalang kay miriam eh,0
kayo nanakawan mar roxas haha bogus ad say desparate elections number,1
nako mar roxas tsk tsk alam,1
oa lang naman yung die hard fans dut erte kay binay mar roxas yun matutuwa :-),0
tatakbo si duterte mahahati boto knila miriam end si mar roxas mananalo haynako,1
sen bongbong marcos gamely says get along presidentiables binay also … url,0
retweet still support mayor duterte wag magpapaloko black propaganda,2
duterte till end url,1
username allan cayetano disgrace babbling mouth since gloria adm regarding mike arroyo proven nothing zero vote,1
number sinungaling number bagito number masakitin matanda lalagay sigurado mar plan roxas robredo url,1
election period real image people revealed much dismayed abscbn trillanes roxas conspiracy behind,0
binay ash wednesday grabe nog nog hambog url,1
rt username imagine havoc binay marcos administration wreak ’ afraid number url ph vote …,0
desperate move mar roxas jusko lumaban patas rumi,1
buti si binay ha,0
pinagkaiba si binay number year old tampururot masyadong paawa tv ads amp,1
mar binay poe tigilan niyo paggamit taong gutom porket mahirap pwede niyo n paglaruan buhay url,1
rt traffic edsa like mo iboboto si binay qt tingin nyo laman biceps alden vote maine fpp kca,0
medyo pasikat si binay,1
abias cbn report grace poe hakot buses passengers stranded username,1
mas mukhang sakit si grace poe kesa kay miriam sns,0
poe binay duterte ‘ good ’ migz url,0
vp binay condemn killing former councilor sto tomas url via gma news,0
mar might well dk kidnap roxas robredo url,0
maski mag one pamo poe roxas still defeat duterte,0
username wla nmn kaung mgndang ibinabalita kay binay di nyo mlloko binay makati san,2
pagbabalik binay makati,1
alam mo binay alam naming pandak nognog wag mo ibroadcast,1
kandidatong pasok opisyal balota president number binay jejomar c number defensor santiago miriam ... url,0
binay gave us one reason vote nognog hambog,1
username number nga sery number c binay eend number rse alden,0
visitation vp jejomar binay sen gringo honasan gov david jayjay suarez quezon number days life ... url,0
takot si trillanes roxas grabe nalang siraan si duterte kasi unang titirahin duterte ever manalo eh,1
si roxas ayaw di lang kasi boo abutin go vp binay binayforpresident nog nog sinunog onlybinay url,1
rt username daming commercial binay naman yaman haha,2
always kam zo,0
mar roxas srsly needs pr specialist something although rather enlightening absurd things coming mouth,1
etong ad binay nakakainis nognog alam oy,1
binay tops pre election survey url via eagle news,0
tuwing napapanood yung ad roxas binay nababadtrip taena,1
r etweet mo pabebe si mar roxas,1
traffic naman makati haaay binay,1
si vp binay alam paunladin bansa,2
binay bff,0
username people loves complain vote roxas halalan number mar daang matuwid roro rising,0
roxas binay reaching poor miriam educated poe ... uhm ... comelec daw muna kaso e,0
binay mind ... vat number k earner ridiculous thing could ever imagine,1
rt username pati si binay ideal boy babae ha :d,0
grace poe second rank survey poe number,0
nyo ba yung mar roxas miriam santiago san marcelino haahahha,0
bunga hilaw pamamalakad,2
hinding talaga boboto sayo mar roxas url,1
guys help spread po lanao del norte si duterte nilagay si roxas lalabas url,0
uh oh poe lead roxas number 377_number du number ph election number,0
duterte running president sure win binay,0
sus binay roxas joke sinabi si duterte alam ibabash nyo parin sya,1
vp binay sagot kahirapan bansa binay priority number ps,0
echos mo binay ika tumigil,0
ewan sayo binay yon sayo mayaman makati yon tax ayala,1
rt username luko luko talaga abaya anong sabotage si mar roxas noy aquino nag sabotage mrt https :/ t…,1
lang ba tingin kwenta si binay hhaaha,1
lrt sorry bongbong marcos vote vote running mate miriam defensor santiago =) never,0
si poe nalang ayaw mo si duterte wala ding ambag eh,0
@ancalerts video rep binay never forgive sen trillanes url even bother read diversionary,1
tv number aksyon vp binay nanligaw botante cavite umaaksyon si username pilipino news number aksyon,0
mar roxas new commercial big binay nognog trapo,1
username hah mas sayang boto kay binay mar napunta ha wag magalit kai ha sakin lang yan,0
rt username kath niel leads celebrity gathering presidential candidate mar roxas ... url via username,0
diktador dating username questioned miriam number url url,0
vp binay disagrees duterte says death penalty solution criminality via username,0
transcript mar roxas interview naia tanim bala url,0
mar roxas criticised showing receipt media url,0
duterte miriam talaga binay poe mar wag pili pinas debates number,0
jejomar binay narinig niyo naman bintang kinahinatnan nahatulan pili pinas debates number,0
si vp binay matapos kahirapan,2
mambobolang duterte,1
makati binay iisa abby binay entitled bitches,1
ibinoto nyo kasi si ... wisely x,2
kadeee ...,2
president ... wag lang si mar roxas p,1
kay binay ... kay binay ... nognog pandak magnanakaw gago wala kang naloloko,1
username lets honest ... know leni one pull upset ... pres duterte poe binay mar,0
rt username santiago duterte damn lang kasi silang dalwa yung tandem pinapahirapan jusko,2
du …,1
drama queen kang si binay iiyaknayan url,1
di du number grabe p noy hah ganyan pala kababa notoroxas yellowpropaganda url,1
hate binay hate duterte niyo talaga gets yung debate,0
wag kang mag alala roxas pagnanalo si du number popondohan nya yung business nyong tsinelas korina chill kalang,0
binay karen davila like expound eleksyon number,0
ginagaya paris yung batang naiyak commercial binay haha,0
username puro kalokohan mar roxas wala kang alam sabhn kundi puro pani number ra mo papogi,2
binay priority number ps,1
number si binay nagronda gabi makikita mo ba,1
number days straight exposed init napala edi eto nognog kagaya binay dafuck,1
si binay nognog pandak laki hirap si username pango pandak rak rak,1
maka roro taas,2
maka roro baba,2
ph vote roxas roxas leni ph vote mar leni mayo roxas mar roxas robredo,0
username magpakatotoo beh corrupt si tatay binay rin,1
binay pakibigyan nalang cake,0
front page binay lead narrows duterte latest bw sws survey full story url url,0
username vp binay nalagpasan nya nga yung pangungulila yan ba binabato nyo sakanya,2
binay makati san,0
humabol si mar roxas,1
binay need increase ira number th number th class municipalities must empower local government units make accountable p hvote,0
mar roxas knows grace poe number nagpapresscon talaga sana tinawagan papansin drama queen disente,1
turn verify username never mind number baka takot k poe ph vote hakot ph vote poe url,0
meanwhile binay grace di nakakalimutan issues despite saying duterte binay tra poe,1
sorry talaga si binay maiwasan matawa pili pinas debates number,0
back politics mas pagasa pang manalo si binay kay roxas,0
... parang gustong palabasin mar roxas pulitiko magnanakaw political ad,0
mar roxas giniit magpadalus dalos pagtugon isyu tanim bala naia aksyonsaumaga url,0
binay gives candies name bgy nine balayan batangas vote ph number url,0
rt username sus si mar roxas mameh ha,1
username trust ratings mar roxas gone despite spin ranks far away third nationally trust ratings wise,0
yellowtards mar roxas action call decent ayaw dilaw,1
username paki baril si mar roxas,2
choss,1
omg mar roxas already top mar roxax rodrigo duterte presidential candidate opinion res ipsa loquitur url,0
diba binay vice pnoy edi wala kwenta number taon nangyare bansa kupal forevs,1
ayaw daw kay duterte kasi baka magka martial law magkagulo lang kay roxas kayo di nga nalo ... url,0
fuck mar roxas fr squad,2
ph vote duterte duterte day url,1
username gaga :) conceded yesterday think si binay nalang wala,1
username tanong po kay binay mahalal pangulo mandatory patigilin korapsiyon,0
nalupet rin si binay dulo lumalaban alam talo,0
rt username tanga lang boboto kay mar roxas uulitin tanga lang,1
president naman bumoto kay duterte roxas binay family,0
pikon talo labanan roxas duterte hahaha,1
putangina duterte president sumpain mar roxas ha,1
nagtatanim bala binay napoles kayo pong bahala,0
dont know dots laaaffhhdhfhdhdj hard binay blackie whyyy url,1
binay abolish good pro poor program,2
binay priority number ps,0
binay sama sama tayong isulong ginhawa pamilyang pillipino,2
p hvote,0
@phvote grace poe miriam defensor santiago top vice president choices mar roxas – survey url ph vote pres miriam,0
magkano naman ibinayad mar roxas kay daniel padilla ienderso ya reasons vote mar,0
binay taon akong pinagtutulungan vote ph number underdog effect,1
lang ba naiinis advertisement binay nognog daw tayong lol lang,1
sige buhat bangko binay hidhid rin url,1
username argument mother mar roxas rn ...,0
bsta ah voting binay,0
ayan nanaman linya binay makati pwe,1
matulog number number si duterte pag katapos matulog number number si roxas blackmagic,1
appearance vp jejomar binay sen gringo honasan gov david jayjay suarez distribution ... url,0
rt abscbn news information vp binay filed expiration term vice president via ombudsman ph via …,0
username ha loko parang ganun lang sige jan binay mo hanapin mo yan pag ...,0
mr mar roxas sakaling maisip mo mag concede baka skaling matira pang pagmamahal sayo taong bayan realtalk du number,1
mar roxas u gotta fuckin kiddin meeee,1
kanina yang sasakyan nagpapatugtog binay binay ... dinami rami pwedeng lss ... haay nakakasira weekend ha,0
lang ba yung naiinis commercial mar roxas binay plastik,1
kampo vp binay naghain motion reconsideration kaugnay isinamapang kaso ombudsman via allan francisco,0
mananalo mar roxas shut nalang ayaw dilaw shut lang series,1
kunwari wala aber si binay tinawag si poe american girl ...,1
bet talaga tong tv ad binay,2
aldub number th weeksary,0
senator poe says affected girl tag given vp binay hey marv,0
sakit lang isipin mas nauungusan roxas binay si mds,1
username bs aquino panic attacks ubo ); unity call vs du number confirmed poe manchurian candidate lp jumps gun,1
simula huling debate pagka pangulo ipanalo gobyernong puso ph vote poe url,0
rt username binay b number nay papalit one direction,2
mtv stars one direction,0
ayaw natin gobyernong manhid poe pilipinas debates number,0
phl business conference binay lists priorities cut tax rates narrow infra gap lick poverty url url,0
good news go vp binay binay number,0
ayoko panuorin tong replay nairita lang lalo kay mar roxas puta,0
dont wanna political analyst real quick nakakahiya ata pinag gagawa aquino roxas trillanes gradeschool moves,1
number wks got booed sinulog binay strikes,2
welcome binay country tarp iec mass yesterday https :/ co gjpj18pxpd,0
bobo binay yes nga,1
kay binay baka masira tong tv namen ...,1
makati rep abi binay confirms run makati mayoralty race last minute party family decision,0
tvc ba naman sinisiraan si binay,0
username binay bare hand eating ... unhygienic ... smiling also,1
untv repaso number dismissed makati mayor binay sinampahan bagong plunder complaint office ombudsman 18_number 12_number 2015_number ny a1741,0
maroxas camp ppcrv apologize pilipino url,0
mar roxas antics meant cover preparations fraud,2
real news today hundreds vcm technicians replaced last minute,1
condonation doctrine ginamit depensa mayor binay ibinasura korte … url url,0
fuck duterte fuck binay fuck marcos,1
tangina binay talaga,1
nognog pandak pu ñeta tumigil binay,1
binay survey poverty proof non inclusive growth url,0
rt senmiriam cover maiden issue gavel robe magazine philippine law lawyers … url,0
nognog,2
pandak,2
laki hirap,2
pabebe,2
nognog ulit,2
yan si binay,2
nog nog hambog,1
rt username god please give us leaders believe philippines grace poe number grace poe mar roxas binay daang matuwid ht …,0
uber driver asked presidente answered wag lang si binay halalan number,0
username nakakalungkot :( roxas binay etc die anytime though,1
romualdez cousins supporting binay number via username url,0
plot twist biglang manalo si mar roxas,0
rt username nancy binay president po libre concert tickets magkakaron tao netflix boto binay fambam xx …,0
enrile announces binay,2
birds feather,2
make,2
,2
good,2
feather,2
duster url,0
uy duterte di ba nag submit lang candidacy disqualified si poe psst wala daw sya oh ha ha ha jk,1
mlapit election undecided prin ... next president wooh hirap ... ayoko tlga kay mar binay ...,0
poe roxas santiago weigh controversial canada trash url ph vote url,0
continuity filipino tandem roxas robredo way drama trabaho lang,0
di gumagana ung mic binay ha pili pinas debates number,0
fcking mar roxas tv patrol come abs cbn,1
@sengracepoe roxas saying duterte presumptuous elite people decide run,0
magsasawa haaa team vp binay binay,0
rt username pagkakaiba mar pilit nagpapaliwanag binay ayaw magpaliwanag poe makapagpaliwanag miriam santiago sana …,1
abby binay instructed bei fall line wait turn vote halalan number url via username,0
daming commercial mar roxas,2
umay,1
daming political ads binay nakakairita,1
natatawa talaga dun binay yung nognog,0
binay pakisagot po muna yung allegations nyo senate complain pinagkakaisahan po kayo thanks po,1
grace poe versus mar roxas compare contrast achievements,2
url url,0
get feeling mar roxas turning people purpose ayaw dilaw,1
plastic nangangandidato lalo si binay,1
du ro duterte robredo di kinaya ever bi leni binay leni leni real vp recount vp url,0
@trillanessonny number percent certain binay change lifelong thief plunderer vote ph number,1
nakikitang mali si poe anti duterte ad srsly poe roxas poe ayawsa dilaw,1
username binay good pray ask enlightenment helps ;) also go someone delivers talks,0
boo binay,1
binay cries foul inquirer report alleged dummy bank accounts url url,0
graft corruption binay tells students url username url,0
si binay ginamit tingin nya kakaawaan sya makuha simpatya tao ...,0
sorry vote womanizer trashtalker killer still go grace poe,1
vice president binay spent p number 713_number 0_number television electoral adverts number said ad money came friends supporters,0
vp binay expects black propaganda amid ratings rise via username,0
reminder lang nangongopya kasi hugot drama pasiga siga trabaho lang mar roxas po url,0
inc endorsing mar roxas would username money faith faith money ayaw dilaw,1
traffic quiapo,2
bata number si duterte presidente mawawala magnanakaw,2
b number si roxas binay boboto eh,0
friday number th sinabi mamang especially kay nancy binay crush username reden diary,0
buti lang reject grace poe yung offer mar roxas hahaha alam gagamitin lag niyon sakali eh,0
fairness nagpapaka honasan si cayetano wag si binay lang wag si mayor duterte lang leader want,0
bobo padin mar roxas presidente,1
si vice president jejomar binay magiging susunod pangulo itutuloy daw nya corruption gma news number ulul,0
mar roxas call unity describes one thing selfishness deserve president,1
okay nga si mar nalang kesa si binay psy pagyanig,0
nognog nognog nagmamalasakit tsk number ayaw kay binay pala nagmamalasakit saming tisoy nakaka sad,0
pag wala raw naproklamang vp extended daw si vp binay asa,1
username agree binay bbm prez vp nya scary,1
username wala nyo lang siraan si vp binay ganyan si idol tsk,1
username honestly naaawa kay binay alam yung story nya lol,0
starting believe binay created public service created cult instead boo binays stupid supporters,1
heard binay radio ad ... almost stabbed,2
know candidate,1
binay binay pota lss,1
rep binay agree full transparency becomes deterrent efficiency sacrifice basic services needed city,0
kay binay pera pera lang yan alam nyo ha url,1
would happier see miriam switch places either roxas binay polls would happiest became president,0
si binay url,0
mar roxas ad worth number pesos v,1
vice president binay url,1
roxas president,2
robredo vice president,2
mar daang matuwid,0
rt username mar roxas proclaimed datu lanao sultanate url username url,0
bea mom í dont like binay diba madami siyang tinutulungan,2
ha,0
honasan belies crowd sinulog booed binay url url,0
binay wasting time trying bring duterte tsk digong ayaw nalang tawn pansina ph vote duterte,1
teacher pala si nancy binay kuhang kuha maam,0
si roxas binay ung nag dala eh,0
pati yung report regarding pambabastos daw students uplb kay vp binay mali mali pwe abscb nnomore,1
kinabukasan vp binay nag iisa,2
b number nay,2
binay winner,0
si duterte ala hitler alam si grace binay kurakot isyu walong araw matapos ikalawang ... url,1
nakaiyak talaga story binay,0
hala nasunog nog nog nog nog nog nog nog nog chura binay,2
ha,1
campaign slogan p noy noong nakaraang eleksyon kinuwestyon vp binay via allan francisco,0
mar roxas leni robredo po url,0
sana manalo si mar roxas,0
abscbnirresponsible pwede si binay naman next week si bb marcos fair ba natin yan ha p,1
problem mar roxas elitist,2
problem grace poe neophyte,2
election number,1
magkaiba si binay si alma,2
si binay nognog,2
si alma moreno,0
bwisit roxas mas bastos p kay duterte pulling grace poe ayaw dilaw,1
good friends duterte poe santiago pili pinas debates number,0
dear mar roxas makaramdam naman commercial pedeng ipapakita yung tvc mo nakakasawa ho ... url,1
u mar personifies bayan attribute mar walangiwanan mar mar roxas number url,0
oo binay nognog di naman naiinggit kulay mo e,1
punyetang binay namang commercial punyeta,1
maki jj binay puro lang kasi sandro pilipino bbm number vp url,0
takes special someone make binay look reasonable classy gentleman nice job duterte think possible ...,1
kwento mo mar roxas galit talaga yo simula nung paglamatay robredo,1
presidential preschool,2
top number santiago,2
disciplined duterte,2
polite poe,2
active roxas,2
best storyteller binay,2
duterte number,0
sobrang pagka g binay dinoble tinawav syang gno g,1
“ arrogance might call arrogance avarice lust power ” catelyn stark describing lannisters mar roxas,1
rather mar president binay poe pls lang,1
nandito si binay wala klase init haggardface url,1
hoy gago wag bumoto si binay lang naman pangulo mo charot,1
rt ancalerts cheapen presidency duterte tells poe camp halalan number url url,0
pag manalo si grace poe eleksyon laya agad sina jinggoy estrada bong revilla di rin makulong si p noy ... url,0
plot twist,2
sen grace poe ibibigay nalang boto kay mar roxas,2
halalan number,0
mar roxas ipagpatuloy daang matuwid,2
voters di iboboto shut lang,2
shut lang series,1
morales says reliable source prove binay pressured coa delay report url url,0
naglapana naka orange maynila akala si binay si erap pala kampanya wait pinagkaiba ba traffic alert,0
username username username si binay hahahha,0
beauty power wala kay power wala kay beauty words powerful lage si binay,0
username napunta kay binay huhuhu,0
desperate move mar roxas desperate move url,1
man manalo duterte poe miriam wag yung mas bet du number,0
inc si kath bernardo tas nag endorse kay mar roxas whoot,0
jusko puro mukha mar roxas nasa tv,1
mayor junjun binay visiting wake lolo kumpadre url,0
chiz ’ leaving grace join binay url defining news url,0
poe citizenship binay wealth roxas actions duterte words santiago health,0
mar roxas leni robredo lang po url,0
buti lang di presidente si duterte kundi patay snatcher,1
username binay actually looks like nidora hahaha aldub letter,0
think alma moreno interview w binay uplb forum form act gain sympathy popularity p rworks,0
toughest opponent roxas robredo said everybody game vp binay already organized campaign long ph vote,0
dzrh exit polls duterte number poe number roxas number,0
poe shrugs binay escudero chance meeting ’ surprising url via inquirer,0
palasyo pumalag paninisi binay zapanta case mariing inalmahan malaca ñang paninisi ... url,0
mag withdraw kana mar roxas kay lorna tolentino lmao,2
ayaw dilaw url,1
umay paid tv ad mo sir vp binay garapalan,1
tv number aksyon liberal party nababahala nangunguna election surveys si mar roxas news number aksyon,0
username nasilaw perang bayad roxas,2
voted binay pls count,2
b number nay presidente halalan number,1
responsible filipino vote mar roxas wala kang mauuto di mananalo ayaw dilaw,1
another reason hate jejomar binay url,1
username username black propaganda nga nmn tlga e khit gnun mdmi prin sumosuporta kay vp binay ph vote binay,0
forget ayala skyline look beyond abi binay url url,0
mar roxas mas lalong maraming susuporta kay du number pati local candidates dilaw magulo rin url,1
lolol naalala kumalat chika inofferan mar roxas si alden number tinanggihan tapos bigla si dj mag eendorse,1
binay kahirapan,2
miriam economy,2
duterte criminality,2
poe agriculture,2
roxas tsinelas korina,2
pili pinas debates number,1
nagbigay orasan samin muka binay wtf,0
personal ranking ph presidentiables,2
number poe,2
number santiago,2
number roxas,2
number binay,2
nothing follows,2
poe number,0
duterte marcos still leads number votes coming poe overtakes roxas second place robredo ... url,0
call unity call decency call democracy mar roxas consider stepping early ph vote number,0
binay 1_number rin sws survey duterte poe patas pangalawang pwesto url via bombo radyo,0
marroxas leni robledo lead serve let choose servant leaders thieves tyrants eq post url,0
wanted president wanted president,2
sobrang laki hacienda binay ... buong pamilya siguro nangungurakot ...,2
opinionkolang ah,1
rampage si binay timeline hahah,2
nog nog hambog,1
really fight hhmnbn username good shall prevail ph vote roxas switch mar url,0
kahet stress napawi nung kita binay url,0
nation vp binay kick campaign mandaluyong url via gma news,0
inang bayan,2
mas,2
mar leni wins,2
ro ro number,2
roxas rising url,0
roxas p noy obviously ones behind trillanes attacks vs duterte anyone still think otherwise url,0
mar roxas embarrassing idiot laglag bala,1
bumoboto pala kay mar roxas,0
username ow sorry naman haha ke silang itext si binay nireplyan,0
katapusan ama grace poe,0
username ha tatag trabaho non pre mas mahirap dinanas pacquiao pati binay ha,0
username teritoryo binay yun g haha,0
number duterte,2
number roxas,2
wth roxas never number surveys somethings fishy,1
username tra poe poertunista bagay bagay tandem nya username username,1
rt username kay binay nakilala kaming nognog,1
